no of vectors,no of procs,itter,error,time
1000,1,1,0.0031148626207453513,0.030101537704467773
1000,1,2,0.003135857366901541,0.02700948715209961
1000,1,3,0.0031257379869875186,0.0269010066986084
1000,1,4,0.0032426732903767215,0.02723097801208496
1000,1,5,0.0031950885155843894,0.02667069435119629
1000,2,1,0.0030708741415927617,0.026296615600585938
1000,2,2,0.0032212139474014027,0.02263188362121582
1000,2,3,0.003267789866641433,0.025213956832885742
1000,2,4,0.0033445568656635502,0.02480459213256836
1000,2,5,0.003185303507341467,0.04400324821472168
1000,3,1,0.0032840576802525196,0.025378704071044922
1000,3,2,0.003213100748435389,0.025483369827270508
1000,3,3,0.0031614380065956246,0.02613973617553711
1000,3,4,0.003091283184973698,0.026767253875732422
1000,3,5,0.0031790523106288264,0.025322437286376953
1000,4,1,0.003091778485935961,0.026252031326293945
1000,4,2,0.0031390615881418853,0.0307767391204834
1000,4,3,0.003147317470089529,0.028805971145629883
1000,4,4,0.0031101742065449563,0.026126861572265625
1000,4,5,0.003172433110913641,0.02534937858581543
1000,5,1,0.003062715896309491,0.027643442153930664
1000,5,2,0.003183021784160792,0.02766275405883789
1000,5,3,0.0032234552701892716,0.027595996856689453
1000,5,4,0.0031070389454396084,0.030996084213256836
1000,5,5,0.0031619623142591746,0.027348041534423828
1000,6,1,0.0030925661889619144,0.025729894638061523
1000,6,2,0.003223963890122247,0.025763750076293945
1000,6,3,0.003169858492549805,0.029734373092651367
1000,6,4,0.0030898914661893736,0.027155399322509766
1000,6,5,0.00312681739429697,0.027410507202148438
1000,7,1,0.0030264400694750004,0.027943849563598633
1000,7,2,0.0032242400698155515,0.028038740158081055
1000,7,3,0.003106703223844308,0.030606746673583984
1000,7,4,0.003302787649849903,0.03381919860839844
1000,7,5,0.003111813127473353,0.028368711471557617
1000,8,1,0.003176644733459022,0.027538299560546875
1000,8,2,0.0030897785394333258,0.029749393463134766
1000,8,3,0.003192646634529378,0.030742645263671875
1000,8,4,0.003078686723561949,0.030146360397338867
1000,8,5,0.0032240789867101225,0.03162026405334473
10000,1,1,0.0031523809157392255,0.15401864051818848
10000,1,2,0.0031990243637724162,0.1393742561340332
10000,1,3,0.003151601668318506,0.1569974422454834
10000,1,4,0.003171340098703828,0.1385347843170166
10000,1,5,0.003136362795075138,0.13760924339294434
10000,2,1,0.003162754442666277,0.09307050704956055
10000,2,2,0.003166504202015314,0.09320759773254395
10000,2,3,0.003154316400335093,0.07339096069335938
10000,2,4,0.003175143189678936,0.08233213424682617
10000,2,5,0.0032092520927931995,0.0833137035369873
10000,3,1,0.0032087395121206943,0.06624460220336914
10000,3,2,0.003159292732739873,0.08503961563110352
10000,3,3,0.0031135168576472776,0.08125686645507812
10000,3,4,0.0031550651769930334,0.065399169921875
10000,3,5,0.0031933277965139556,0.06645083427429199
10000,4,1,0.003197479869968946,0.06532764434814453
10000,4,2,0.003169671521137099,0.05543661117553711
10000,4,3,0.0031788322299644125,0.05621504783630371
10000,4,4,0.0031550189763178923,0.0590968132019043
10000,4,5,0.003166032109320252,0.05548357963562012
10000,5,1,0.003167087235849233,0.05010724067687988
10000,5,2,0.003162600462346926,0.0475308895111084
10000,5,3,0.0031075950849498326,0.05054640769958496
10000,5,4,0.00318681874223494,0.05555534362792969
10000,5,5,0.0032242323383884835,0.05495858192443848
10000,6,1,0.0031451212128016637,0.05281853675842285
10000,6,2,0.0031860235739763192,0.04702162742614746
10000,6,3,0.0031471912213097025,0.04870772361755371
10000,6,4,0.0031766448013343523,0.04745125770568848
10000,6,5,0.0031789371987636975,0.04731607437133789
10000,7,1,0.0031408843752260144,0.0503237247467041
10000,7,2,0.0031331859472662725,0.047591209411621094
10000,7,3,0.0031570086860354543,0.04767632484436035
10000,7,4,0.003162932767502738,0.04734230041503906
10000,7,5,0.0031081262435977536,0.04734230041503906
10000,8,1,0.003162904537660332,0.049254655838012695
10000,8,2,0.0031417597490836354,0.045226335525512695
10000,8,3,0.0031554862898854575,0.04872775077819824
10000,8,4,0.0031471373554010445,0.04686999320983887
10000,8,5,0.0031728500864725033,0.0472416877746582
100000,1,1,0.0031527736853870897,1.2474510669708252
100000,1,2,0.0031673794699358256,1.274019479751587
100000,1,3,0.003161077609532591,1.2804243564605713
100000,1,4,0.003173726131389558,1.2069058418273926
100000,1,5,0.0031681547185506017,1.282841682434082
100000,2,1,0.003168343815021842,0.6358191967010498
100000,2,2,0.003157210261989112,0.6526274681091309
100000,2,3,0.003151640882687488,0.6197841167449951
100000,2,4,0.0031643521636603453,0.6231358051300049
100000,2,5,0.0031650675844926237,0.617379903793335
100000,3,1,0.003156920113504786,0.45928049087524414
100000,3,2,0.0031734607296682225,0.4646303653717041
100000,3,3,0.0031573266034787824,0.45380306243896484
100000,3,4,0.00316273077290575,0.44869184494018555
100000,3,5,0.0031704403660843946,0.45749330520629883
100000,4,1,0.003154225713651856,0.35208797454833984
100000,4,2,0.0031708593862119733,0.3577742576599121
100000,4,3,0.0031591723447579314,0.3322761058807373
100000,4,4,0.0031655629396647677,0.3524289131164551
100000,4,5,0.003161569390699114,0.3380880355834961
100000,5,1,0.0031569992145972403,0.31050539016723633
100000,5,2,0.0031598655146152974,0.3096938133239746
100000,5,3,0.00315439847066302,0.29270172119140625
100000,5,4,0.0031604789832110126,0.3130345344543457
100000,5,5,0.003177837412761428,0.3062758445739746
100000,6,1,0.003162054491343982,0.28461575508117676
100000,6,2,0.003162826167717744,0.28849196434020996
100000,6,3,0.0031511862372547595,0.2860755920410156
100000,6,4,0.0031640714988135856,0.2728712558746338
100000,6,5,0.0031665440400970154,0.28995633125305176
100000,7,1,0.0031644774844359702,0.26915884017944336
100000,7,2,0.0031610409543622753,0.25876379013061523
100000,7,3,0.003155960284280118,0.2938399314880371
100000,7,4,0.003171900528030586,0.2744762897491455
100000,7,5,0.0031623457036125857,0.2618124485015869
100000,8,1,0.0031683818063756833,0.28566789627075195
100000,8,2,0.0031542405975702715,0.2725703716278076
100000,8,3,0.003160668117595394,0.2640964984893799
100000,8,4,0.003160171482503818,0.26937198638916016
100000,8,5,0.003160631109050382,0.26345086097717285
1000000,1,1,0.0031623577995242833,10.621380805969238
1000000,1,2,0.003160307620610546,10.73153018951416
1000000,1,3,0.003160626022355158,10.606101512908936
1000000,1,4,0.0031630282426398817,10.699795246124268
1000000,1,5,0.003159824330026177,10.604934692382812
1000000,2,1,0.003159603639461436,5.560701847076416
1000000,2,2,0.003160761431175513,5.591470003128052
1000000,2,3,0.0031593125711833286,5.587298154830933
1000000,2,4,0.0031594215858992926,5.580714464187622
1000000,2,5,0.003160806862968957,5.5000505447387695
1000000,3,1,0.0031604765587223277,3.7866716384887695
1000000,3,2,0.003164077972502688,3.8250746726989746
1000000,3,3,0.0031598633021020592,3.7898178100585938
1000000,3,4,0.00315789158195291,3.8303215503692627
1000000,3,5,0.003161607113818463,3.8369498252868652
1000000,4,1,0.0031599609080795814,2.9801857471466064
1000000,4,2,0.003159423982158043,2.9531195163726807
1000000,4,3,0.003159914151847618,2.962902307510376
1000000,4,4,0.0031545652413199885,2.9558463096618652
1000000,4,5,0.0031598521250653373,2.945497989654541
1000000,5,1,0.00316005734892473,2.633403778076172
1000000,5,2,0.003163098582685776,2.853212356567383
1000000,5,3,0.003158339908564256,2.692235231399536
1000000,5,4,0.0031623135226353195,2.843461036682129
1000000,5,5,0.003158070702699405,2.8453915119171143
1000000,6,1,0.003160071923223913,2.4413087368011475
1000000,6,2,0.0031633505225029685,2.4787840843200684
1000000,6,3,0.003159392822660425,2.4421706199645996
1000000,6,4,0.0031602064831081477,2.454008102416992
1000000,6,5,0.00316159923460974,2.505498170852661
1000000,7,1,0.003157194884347624,2.3331360816955566
1000000,7,2,0.0031574661293524145,2.350665807723999
1000000,7,3,0.0031569494121289586,2.350167751312256
1000000,7,4,0.003162423489472413,2.322415351867676
1000000,7,5,0.0031585945776351283,2.3050012588500977
1000000,8,1,0.0031605266951315594,2.2132351398468018
1000000,8,2,0.0031585748912894506,2.215451240539551
1000000,8,3,0.0031585692482606407,2.227649211883545
1000000,8,4,0.0031625825039061613,2.20404314994812
1000000,8,5,0.00315989629714699,2.2234396934509277
10000000,1,1,0.003160720126570721,109.73349857330322
10000000,1,2,0.0031609401118163193,112.08102488517761
10000000,1,3,0.003160696708267531,111.16008353233337
10000000,1,4,0.003161547741067481,108.49916243553162
10000000,1,5,0.003160388587665826,109.24434399604797
10000000,2,1,0.003160097366729739,55.40855622291565
10000000,2,2,0.0031614386885967273,55.66761136054993
10000000,2,3,0.003159398665944122,55.47233724594116
10000000,2,4,0.0031609050021561935,55.78585624694824
10000000,2,5,0.0031615048352764716,55.11950945854187
10000000,3,1,0.0031609720979468145,38.7990996837616
10000000,3,2,0.0031608762885414515,38.475626707077026
10000000,3,3,0.003160585485364562,38.083513259887695
10000000,3,4,0.0031602565657659573,38.28986883163452
10000000,3,5,0.0031610007004587146,38.98007154464722
10000000,4,1,0.0031610936963850926,29.78718590736389
10000000,4,2,0.0031615184377198377,29.72230839729309
10000000,4,3,0.003160662344459219,33.658376932144165
10000000,4,4,0.0031597532350696694,29.218457221984863
10000000,4,5,0.003161240155185077,29.672594785690308
10000000,5,1,0.003161339158016383,26.374364137649536
10000000,5,2,0.0031600740918402074,26.42133140563965
10000000,5,3,0.003159939805822314,26.97165298461914
10000000,5,4,0.00316025079986104,29.02400541305542
10000000,5,5,0.0031594316151385,27.173372507095337
10000000,6,1,0.003160978473002344,24.771779775619507
10000000,6,2,0.0031604531284056127,24.166711568832397
10000000,6,3,0.0031612324093436817,24.36805272102356
10000000,6,4,0.0031593388516081896,24.470900058746338
10000000,6,5,0.003161173706267592,24.55725407600403
10000000,7,1,0.0031599312481036643,22.810136556625366
10000000,7,2,0.0031606404733002863,23.021016597747803
10000000,7,3,0.003160545008376967,22.830832958221436
10000000,7,4,0.0031614386026030607,22.821951150894165
10000000,7,5,0.0031602369505662068,22.895422220230103
10000000,8,1,0.0031612012255872656,21.882665634155273
10000000,8,2,0.0031605208739345064,21.756797790527344
10000000,8,3,0.003159521240899216,21.949079751968384
10000000,8,4,0.0031602767417334547,21.873050928115845
10000000,8,5,0.0031593477002062643,22.22897744178772
